feature,importance,pillar
news_sentiment_std_3m,0.028554364702122373,NLP FinBERT Noticias Financieras
sic_3630,0.027960015096355924,Categóricas & Estrés Contable
sic_7389,0.027953531109570426,Categóricas & Estrés Contable
sic_2844,0.025458715956915415,Categóricas & Estrés Contable
sic_4812,0.025303041646858544,Categóricas & Estrés Contable
sic_3679,0.023208872560168427,Categóricas & Estrés Contable
sic_4700,0.022290188154162394,Categóricas & Estrés Contable
sic_7990,0.020770539053464626,Categóricas & Estrés Contable
sic_3728,0.020364810800823113,Categóricas & Estrés Contable
sic_4931,0.02020754056559596,Categóricas & Estrés Contable
sic_8050,0.020060727062843325,Categóricas & Estrés Contable
sic_3220,0.019487501270932656,Categóricas & Estrés Contable
form_type_10-Q,0.019347880278261047,Categóricas & Estrés Contable
sic_2821,0.019132222349177365,Categóricas & Estrés Contable
sic_7011,0.0180477290478499,Categóricas & Estrés Contable
sic_2750,0.017548577228492707,Categóricas & Estrés Contable
sic_5940,0.016922328159282397,Categóricas & Estrés Contable
sic_1382,0.016885218984380165,Categóricas & Estrés Contable
sic_2834,0.01534171098738568,Categóricas & Estrés Contable
sic_5180,0.014971869665850237,Categóricas & Estrés Contable
sic_5200,0.014658651129527973,Categóricas & Estrés Contable
sic_6512,0.01400749995272617,Categóricas & Estrés Contable
sic_2300,0.013614747292018456,Categóricas & Estrés Contable
sic_5531,0.01340488210036248,Categóricas & Estrés Contable
sic_2731,0.012733764344453639,Categóricas & Estrés Contable
sic_2721,0.012184258884234361,Categóricas & Estrés Contable
sic_3990,0.012091237939989565,Categóricas & Estrés Contable
sic_5961,0.011474365513721723,Categóricas & Estrés Contable
sic_2100,0.011413363479440174,Categóricas & Estrés Contable
sic_1311,0.01136437294312788,Categóricas & Estrés Contable
sic_4832,0.011353472730016105,Categóricas & Estrés Contable
sic_3433,0.010518061563671964,Categóricas & Estrés Contable
sic_1040,0.01046405399789947,Categóricas & Estrés Contable
sic_7380,0.010325827999680341,Categóricas & Estrés Contable
sic_700,0.01029417981678397,Categóricas & Estrés Contable
sic_3822,0.010116357613986687,Categóricas & Estrés Contable
sic_5070,0.010064839353273592,Categóricas & Estrés Contable
sic_1700,0.0097973465913385,Categóricas & Estrés Contable
sic_6531,0.00975033915932968,Categóricas & Estrés Contable
sic_3440,0.0094896783949299,Categóricas & Estrés Contable
sic_3571,0.009431587955098757,Categóricas & Estrés Contable
sic_5140,0.009332916033845569,Categóricas & Estrés Contable
sic_5010,0.008644158728890445,Categóricas & Estrés Contable
sic_2390,0.008540544861643927,Categóricas & Estrés Contable
sic_1221,0.007718718752628705,Categóricas & Estrés Contable
sic_7350,0.007520270685708418,Categóricas & Estrés Contable
sic_2330,0.006914819748610713,Categóricas & Estrés Contable
news_sentiment_std_6m,0.006468630062479733,NLP FinBERT Noticias Financieras
sic_5030,0.006254350737453191,Categóricas & Estrés Contable
sic_6411,0.006048374402463558,Categóricas & Estrés Contable
sic_2452,0.005820421540653744,Categóricas & Estrés Contable
sic_3281,0.00574503545963495,Categóricas & Estrés Contable
news_sentiment_range_6m,0.005708910283764068,NLP FinBERT Noticias Financieras
sic_3585,0.005620890877138748,Categóricas & Estrés Contable
sic_3550,0.00550163140351725,Categóricas & Estrés Contable
sic_3612,0.0052411807909655975,Categóricas & Estrés Contable
sic_3211,0.005009457417464294,Categóricas & Estrés Contable
sic_4899,0.005002493487721074,Categóricas & Estrés Contable
sic_5651,0.004799292467104845,Categóricas & Estrés Contable
sic_2082,0.004782852547937612,Categóricas & Estrés Contable
sic_800,0.004734276158841034,Categóricas & Estrés Contable
sic_6500,0.004624155955532887,Categóricas & Estrés Contable
sic_3640,0.004539950973501313,Categóricas & Estrés Contable
sic_3444,0.004481967485791396,Categóricas & Estrés Contable
sic_2340,0.0043499251960877625,Categóricas & Estrés Contable
sic_5399,0.004061146683715736,Categóricas & Estrés Contable
sic_4841,0.003816209445773709,Categóricas & Estrés Contable
sic_2836,0.00361921966252443,Categóricas & Estrés Contable
sic_3341,0.0033584843258675934,Categóricas & Estrés Contable
sic_7310,0.003275186747364242,Categóricas & Estrés Contable
sic_8711,0.0031433796522255027,Categóricas & Estrés Contable
form_type_10-K/A,0.0031289910168385356,Categóricas & Estrés Contable
sic_3845,0.0031256103238155686,Categóricas & Estrés Contable
sic_4210,0.0027701711020708167,Categóricas & Estrés Contable
sic_8731,0.0027441265136794574,Categóricas & Estrés Contable
sector_division_Agricultura_Pesca,0.0027315447774288754,Categóricas & Estrés Contable
sic_8742,0.002594259412023305,Categóricas & Estrés Contable
sic_5031,0.002532648922900744,Categóricas & Estrés Contable
sic_7374,0.0022338382214981247,Categóricas & Estrés Contable
market_news_sentiment_std,0.002226707921572952,NLP FinBERT Noticias Financieras
sic_5110,0.0022256736079346875,Categóricas & Estrés Contable
sic_3911,0.00219931008421783,Categóricas & Estrés Contable
sic_8011,0.0020584054506327144,Categóricas & Estrés Contable
sic_5810,0.0019926862719359005,Categóricas & Estrés Contable
sic_2430,0.0019274368531440786,Categóricas & Estrés Contable
sic_5045,0.0019114489753619395,Categóricas & Estrés Contable
sic_5130,0.0018880781367417105,Categóricas & Estrés Contable
sic_3531,0.0018790041619952268,Categóricas & Estrés Contable
news_count,0.001853128788964534,NLP FinBERT Noticias Financieras
sic_2090,0.00184828720817185,Categóricas & Estrés Contable
insider_net_shares,0.0018410106635033167,SEC Insider Transactions
sic_4950,0.0018398875385919468,Categóricas & Estrés Contable
sic_7363,0.0018086229309471243,Categóricas & Estrés Contable
sic_5621,0.0017221518009966385,Categóricas & Estrés Contable
sic_5040,0.0016442278395292806,Categóricas & Estrés Contable
sic_3081,0.0014621948740620302,Categóricas & Estrés Contable
stock_return_3m,0.0014294548966423133,Cotizaciones Bursátiles & Merton KMV
sic_6172,0.001354303482325639,Categóricas & Estrés Contable
sic_2024,0.0012861854096671078,Categóricas & Estrés Contable
sic_3651,0.0012745739434497476,Categóricas & Estrés Contable
sic_3443,0.0011945935553668687,Categóricas & Estrés Contable
sic_3569,0.001164523081722381,Categóricas & Estrés Contable
sic_2741,0.0009519982433557958,Categóricas & Estrés Contable
sic_7841,0.0008537711423727405,Categóricas & Estrés Contable
sic_3652,0.0006885253975714651,Categóricas & Estrés Contable
sic_4220,0.0005414580160064206,Categóricas & Estrés Contable
sic_2510,0.0004597019866823306,Categóricas & Estrés Contable
sic_7500,0.0,Categóricas & Estrés Contable
sic_7510,0.0,Categóricas & Estrés Contable
sic_7600,0.0,Categóricas & Estrés Contable
sic_7812,0.0,Categóricas & Estrés Contable
sic_7819,0.0,Categóricas & Estrés Contable
sic_7822,0.0,Categóricas & Estrés Contable
sic_7829,0.0,Categóricas & Estrés Contable
sic_3100,0.0,Categóricas & Estrés Contable
sic_6792,0.0,Categóricas & Estrés Contable
sic_2211,0.0,Categóricas & Estrés Contable
sic_5731,0.0,Categóricas & Estrés Contable
sic_7331,0.0,Categóricas & Estrés Contable
sic_7340,0.0,Categóricas & Estrés Contable
sic_7359,0.0,Categóricas & Estrés Contable
sic_7361,0.0,Categóricas & Estrés Contable
sic_6519,0.0,Categóricas & Estrés Contable
sic_6532,0.0,Categóricas & Estrés Contable
sic_6552,0.0,Categóricas & Estrés Contable
sic_7377,0.0,Categóricas & Estrés Contable
sic_7371,0.0,Categóricas & Estrés Contable
sic_8200,0.0,Categóricas & Estrés Contable
sic_8300,0.0,Categóricas & Estrés Contable
sic_8351,0.0,Categóricas & Estrés Contable
sic_8600,0.0,Categóricas & Estrés Contable
sic_8700,0.0,Categóricas & Estrés Contable
sic_7320,0.0,Categóricas & Estrés Contable
sic_7330,0.0,Categóricas & Estrés Contable
sic_8071,0.0,Categóricas & Estrés Contable
sic_8082,0.0,Categóricas & Estrés Contable
news_pos_ratio,0.0,NLP FinBERT Noticias Financieras
news_neg_ratio,0.0,NLP FinBERT Noticias Financieras
sic_6399,0.0,Categóricas & Estrés Contable
sic_6510,0.0,Categóricas & Estrés Contable
sic_8090,0.0,Categóricas & Estrés Contable
sic_7370,0.0,Categóricas & Estrés Contable
sic_7830,0.0,Categóricas & Estrés Contable
sic_7948,0.0,Categóricas & Estrés Contable
sic_7997,0.0,Categóricas & Estrés Contable
sic_8000,0.0,Categóricas & Estrés Contable
sic_8051,0.0,Categóricas & Estrés Contable
sic_8060,0.0,Categóricas & Estrés Contable
sic_2761,0.0,Categóricas & Estrés Contable
sic_2540,0.0,Categóricas & Estrés Contable
sic_2590,0.0,Categóricas & Estrés Contable
sic_2221,0.0,Categóricas & Estrés Contable
sic_2253,0.0,Categóricas & Estrés Contable
sic_2273,0.0,Categóricas & Estrés Contable
sic_2320,0.0,Categóricas & Estrés Contable
sic_2400,0.0,Categóricas & Estrés Contable
sic_2421,0.0,Categóricas & Estrés Contable
sic_3050,0.0,Categóricas & Estrés Contable
sic_3060,0.0,Categóricas & Estrés Contable
sic_2451,0.0,Categóricas & Estrés Contable
sic_2511,0.0,Categóricas & Estrés Contable
sic_2520,0.0,Categóricas & Estrés Contable
sic_2522,0.0,Categóricas & Estrés Contable
sic_2531,0.0,Categóricas & Estrés Contable
sic_2111,0.0,Categóricas & Estrés Contable
sic_2200,0.0,Categóricas & Estrés Contable
sic_3250,0.0,Categóricas & Estrés Contable
sic_2600,0.0,Categóricas & Estrés Contable
sic_2611,0.0,Categóricas & Estrés Contable
sic_2621,0.0,Categóricas & Estrés Contable
sic_2631,0.0,Categóricas & Estrés Contable
sic_2650,0.0,Categóricas & Estrés Contable
sic_6795,0.0,Categóricas & Estrés Contable
sic_6798,0.0,Categóricas & Estrés Contable
sic_6799,0.0,Categóricas & Estrés Contable
sic_7000,0.0,Categóricas & Estrés Contable
sic_3011,0.0,Categóricas & Estrés Contable
sic_3021,0.0,Categóricas & Estrés Contable
sic_2086,0.0,Categóricas & Estrés Contable
sic_2092,0.0,Categóricas & Estrés Contable
sic_3310,0.0,Categóricas & Estrés Contable
sic_3312,0.0,Categóricas & Estrés Contable
sic_3317,0.0,Categóricas & Estrés Contable
sic_3320,0.0,Categóricas & Estrés Contable
sic_3621,0.0,Categóricas & Estrés Contable
sic_3634,0.0,Categóricas & Estrés Contable
sic_3661,0.0,Categóricas & Estrés Contable
sic_3357,0.0,Categóricas & Estrés Contable
sic_3360,0.0,Categóricas & Estrés Contable
sic_3390,0.0,Categóricas & Estrés Contable
sic_3411,0.0,Categóricas & Estrés Contable
sic_3260,0.0,Categóricas & Estrés Contable
sic_3270,0.0,Categóricas & Estrés Contable
sic_3272,0.0,Categóricas & Estrés Contable
sic_3290,0.0,Categóricas & Estrés Contable
sic_3420,0.0,Categóricas & Estrés Contable
sic_3430,0.0,Categóricas & Estrés Contable
sic_3442,0.0,Categóricas & Estrés Contable
sic_3448,0.0,Categóricas & Estrés Contable
sic_3452,0.0,Categóricas & Estrés Contable
sic_3330,0.0,Categóricas & Estrés Contable
sic_3334,0.0,Categóricas & Estrés Contable
sic_3350,0.0,Categóricas & Estrés Contable
sic_3460,0.0,Categóricas & Estrés Contable
sic_3470,0.0,Categóricas & Estrés Contable
sic_3480,0.0,Categóricas & Estrés Contable
sic_3510,0.0,Categóricas & Estrés Contable
sic_3523,0.0,Categóricas & Estrés Contable
sic_3524,0.0,Categóricas & Estrés Contable
sic_3530,0.0,Categóricas & Estrés Contable
sic_3412,0.0,Categóricas & Estrés Contable
sic_3560,0.0,Categóricas & Estrés Contable
sic_3827,0.0,Categóricas & Estrés Contable
sic_3829,0.0,Categóricas & Estrés Contable
sic_3841,0.0,Categóricas & Estrés Contable
sic_3842,0.0,Categóricas & Estrés Contable
sic_3843,0.0,Categóricas & Estrés Contable
sic_3844,0.0,Categóricas & Estrés Contable
sic_3851,0.0,Categóricas & Estrés Contable
sic_3576,0.0,Categóricas & Estrés Contable
sic_3532,0.0,Categóricas & Estrés Contable
sic_3533,0.0,Categóricas & Estrés Contable
sic_3537,0.0,Categóricas & Estrés Contable
sic_3540,0.0,Categóricas & Estrés Contable
sic_3541,0.0,Categóricas & Estrés Contable
sic_3555,0.0,Categóricas & Estrés Contable
sic_3559,0.0,Categóricas & Estrés Contable
sic_3613,0.0,Categóricas & Estrés Contable
sic_3620,0.0,Categóricas & Estrés Contable
sic_3561,0.0,Categóricas & Estrés Contable
sic_3562,0.0,Categóricas & Estrés Contable
sic_3564,0.0,Categóricas & Estrés Contable
sic_3567,0.0,Categóricas & Estrés Contable
sic_3570,0.0,Categóricas & Estrés Contable
sic_3572,0.0,Categóricas & Estrés Contable
sic_3663,0.0,Categóricas & Estrés Contable
sic_3669,0.0,Categóricas & Estrés Contable
sic_3577,0.0,Categóricas & Estrés Contable
sic_3578,0.0,Categóricas & Estrés Contable
sic_3579,0.0,Categóricas & Estrés Contable
sic_3580,0.0,Categóricas & Estrés Contable
sic_3590,0.0,Categóricas & Estrés Contable
sic_3600,0.0,Categóricas & Estrés Contable
sic_4822,0.0,Categóricas & Estrés Contable
sic_4833,0.0,Categóricas & Estrés Contable
sic_4900,0.0,Categóricas & Estrés Contable
sic_4922,0.0,Categóricas & Estrés Contable
sic_1090,0.0,Categóricas & Estrés Contable
sic_1220,0.0,Categóricas & Estrés Contable
sic_4400,0.0,Categóricas & Estrés Contable
sic_4412,0.0,Categóricas & Estrés Contable
sic_3670,0.0,Categóricas & Estrés Contable
sic_3672,0.0,Categóricas & Estrés Contable
sic_3677,0.0,Categóricas & Estrés Contable
sic_3678,0.0,Categóricas & Estrés Contable
sic_3695,0.0,Categóricas & Estrés Contable
sic_3711,0.0,Categóricas & Estrés Contable
sic_3713,0.0,Categóricas & Estrés Contable
sic_3714,0.0,Categóricas & Estrés Contable
sic_3715,0.0,Categóricas & Estrés Contable
sic_3716,0.0,Categóricas & Estrés Contable
sic_3720,0.0,Categóricas & Estrés Contable
sic_3721,0.0,Categóricas & Estrés Contable
sic_3724,0.0,Categóricas & Estrés Contable
sic_3730,0.0,Categóricas & Estrés Contable
sic_3743,0.0,Categóricas & Estrés Contable
sic_3751,0.0,Categóricas & Estrés Contable
sic_3760,0.0,Categóricas & Estrés Contable
sic_3790,0.0,Categóricas & Estrés Contable
sic_3812,0.0,Categóricas & Estrés Contable
sic_3821,0.0,Categóricas & Estrés Contable
sic_3823,0.0,Categóricas & Estrés Contable
sic_3824,0.0,Categóricas & Estrés Contable
sic_3825,0.0,Categóricas & Estrés Contable
sic_3826,0.0,Categóricas & Estrés Contable
sic_4991,0.0,Categóricas & Estrés Contable
sic_5000,0.0,Categóricas & Estrés Contable
sic_5013,0.0,Categóricas & Estrés Contable
sic_2040,0.0,Categóricas & Estrés Contable
sic_2050,0.0,Categóricas & Estrés Contable
sic_2052,0.0,Categóricas & Estrés Contable
sic_2060,0.0,Categóricas & Estrés Contable
sic_2070,0.0,Categóricas & Estrés Contable
sic_3931,0.0,Categóricas & Estrés Contable
sic_3942,0.0,Categóricas & Estrés Contable
sic_3944,0.0,Categóricas & Estrés Contable
sic_3949,0.0,Categóricas & Estrés Contable
sic_4932,0.0,Categóricas & Estrés Contable
sic_4941,0.0,Categóricas & Estrés Contable
sic_4953,0.0,Categóricas & Estrés Contable
sic_4955,0.0,Categóricas & Estrés Contable
sic_4011,0.0,Categóricas & Estrés Contable
sic_4013,0.0,Categóricas & Estrés Contable
