Model,tau,PR-AUC,ROC-AUC,Recall,Specificity,Precision,TN,FP,FN,TP,Cost USD,PnL USD
LightGBM,0.23800000000000004,0.8572218904844802,0.9766115252676661,0.9727475558263216,0.8408703356657121,0.45034100743604794,33456,6396,140,5267,2439150000.0,37526900000.0
Random Forest,0.17,0.8535905945307611,0.9757604519464484,0.9737075919082695,0.8383374850021938,0.4477663617295488,33350,6502,138,5268,2458500000.0,37488200000.0
CatBoost GPU,0.046,0.853913861719606,0.974535109357633,0.9638762705670368,0.8509158214630135,0.46503823079001216,33847,6005,179,5227,2576650000.0,37251900000.0
XGBoost,0.17800000000000002,0.8585000689089078,0.9767671806915029,0.9704922480357073,0.8475723052086341,0.459328821903619,33768,6084,152,5254,2436800000.0,37531600000.0
Voting Classifier (25% cada uno),0.156,0.858472097162571,0.9769455037715133,0.9730566184197118,0.8420460510673211,0.4526604055004394,33503,6349,139,5267,2423700000.0,37557800000.0
