,tag_NetIncomeLoss,tag_WorkingCapital,merton_distance_to_default,tag_Assets,pub_lag_days,tag_LiabilitiesAndStockholdersEquity,stock_price_close,tag_StockholdersEquity,tag_RetainedEarningsAccumulatedDeficit,tag_LiabilitiesCurrent,tag_InterestExpense,corp_archetype_prob_1,macro_inflation,macro_real_gdp,market_cap,tag_EntityCommonStockSharesOutstanding,tag_AssetsCurrent,tag_CommonStockSharesAuthorized,tag_CommonStockSharesIssued,macro_real_gdp_growth_yoy,corp_archetype_prob_0,news_sentiment_range_6m,tag_CommonStockParOrStatedValuePerShare,tag_CommonStockSharesOutstanding,tag_CommonStockValue,tag_CashAndCashEquivalentsAtCarryingValue,macro_yield_curve,macro_interest_rate,news_sentiment_std_6m,macro_unemployment_rate,market_news_sentiment_mean,corp_archetype_prob_2,tag_Revenues_combined,macro_regime_expansion_prob,tag_RevenueFromContractWithCustomerExcludingAssessedTax,news_sentiment_avg,macro_regime_crisis_prob
tag_NetIncomeLoss,1.0,0.21327262165980962,0.26938026913470214,0.4910096882511809,-0.26131968809150335,0.4961092224205605,0.16686004044769764,0.46322655435556054,0.6563838671417566,0.36166951555362803,0.426854604858268,0.20551885309391024,-0.049168863314817554,-0.047317857466228866,0.18020480232824315,0.11863068754097113,0.35437429649731317,0.018772133708110574,0.14360187485762366,-0.016432355442756796,-0.326179108305853,0.2077658624587264,0.3576200967200984,0.09008322920111798,0.35531752398199123,0.35602910834569884,0.038041334325991855,-0.0015992350509690366,0.18526138895062735,0.02196175883312393,0.010655072689834484,-0.24968012428672318,0.5036588320067521,-0.011683733740506887,0.44956257999127275,-0.012097533181460729,0.020419424282732072
tag_WorkingCapital,0.21327262165980962,1.0,0.3186597995890871,0.56130214568276,-0.35582974458106753,0.565809813053343,0.21805960204332914,0.6015321416487773,0.20932511571532633,0.4990122798146208,0.3827094171804264,0.00044103948249720766,0.012573917928006979,0.012957740756134662,0.22732581382634012,0.19871666127995166,0.683044596378604,0.0646287653833818,0.2314902155418337,-0.001546808474973674,-0.5650969703591182,0.2621792707378509,0.22608550570105163,0.19508317095914432,0.27126715662555867,0.686894522795752,-0.005718602344211747,0.013196081054206398,0.23931020767785927,-0.005561411494163011,-0.0040464270536880054,0.29277799993580483,0.5028328158069804,-0.02906648359126867,0.4276537773599269,-0.07318370420430187,-0.005817901932818459
merton_distance_to_default,0.26938026913470214,0.3186597995890871,1.0,0.4205252028191335,-0.1292145143852785,0.42174871927747737,0.2394128614875712,0.41134755294446534,0.21646147844677746,0.18999132626639315,0.3718032241507804,0.6576473223346633,-0.06659512053080048,-0.05924683918025968,0.2773213692971904,-0.05007006382227557,0.260425263991661,-0.08970166236401783,-0.014397584842505463,0.044036611684659194,-0.21203875098933994,0.09546305447244802,0.29250300037420324,-0.028166403717059346,0.2478708535051507,0.2815825946306313,0.06954603330985626,-0.028180186391747124,0.09598727113831806,0.029436766367510244,0.006362281225499511,-0.3624175464493156,0.24395437421363836,0.03677411975915419,0.05993822253296018,-0.03189716448428762,0.02525329218162322
tag_Assets,0.4910096882511809,0.56130214568276,0.4205252028191335,1.0,-0.4774462155081209,0.9941511961014979,0.27379844784853324,0.811291208978508,0.3808756592876886,0.9249729464649996,0.8529991334571014,0.2782221392549354,0.09375476813695362,0.09348415000349193,0.29129092235421644,0.35861751115766216,0.9444376334868394,0.1798980019714269,0.3763598223163313,0.009199410228251761,-0.8101151529793275,0.34917171287728593,0.45234688794723954,0.3291738350711327,0.5156886808401784,0.8544298346652618,-0.07233895503100608,0.07127377360836927,0.30084765802892627,-0.058470178934534996,-0.002355635067127639,-0.05114223353292781,0.8670309998441746,-0.05605991280748125,0.7556326139606071,-0.10403744048166981,-0.06787083835144045
pub_lag_days,-0.26131968809150335,-0.35582974458106753,-0.1292145143852785,-0.4774462155081209,1.0,-0.4745943667713908,-0.17072948066265795,-0.45035767617064654,-0.18802551211748,-0.4661088873723198,-0.3332499635685691,-0.03621007238522884,-0.029832544223477597,-0.02630659590467605,0.15089457458175945,-0.17695438974258137,-0.5039195895511994,-0.06446217168242174,-0.20351763184763727,-0.02482172952741481,0.4175584683523172,-0.2287854584776438,-0.21678402262765464,-0.17766276534417644,-0.26930781901624556,-0.44241500927552535,0.02698117171682437,-0.04108713711828179,-0.19247140255187542,0.003828408970093899,0.036296562106947164,-0.09076358489487354,-0.3868151837138187,0.032526389205591213,-0.27742719452306497,0.07993859047590472,0.021824167359635188
tag_LiabilitiesAndStockholdersEquity,0.4961092224205605,0.565809813053343,0.42174871927747737,0.9941511961014979,-0.4745943667713908,1.0,0.2803816361912663,0.818988920488947,0.3909954532638431,0.9311511148372373,0.859282744181939,0.28333010802073266,0.09759224698753265,0.09744914110839996,0.30044389765690793,0.3610883658828669,0.9498758839510069,0.1778531733923773,0.37763588783787205,0.009445791404167975,-0.8148367356812741,0.35957183369857276,0.46473981061053793,0.3303308088331867,0.5251397005163945,0.8599072288446948,-0.07591215045793602,0.0736271521654649,0.30836651044103924,-0.0622702780605977,-0.003127988379955934,-0.04554062324152843,0.8696012656234633,-0.050462833724971186,0.7598217355499022,-0.10710883246689819,-0.07180129039109008
stock_price_close,0.16686004044769764,0.21805960204332914,0.2394128614875712,0.27379844784853324,-0.17072948066265795,0.2803816361912663,1.0,0.2518291561840911,0.11521310785923486,0.27665825703931807,0.21318585832798423,0.03568778466445981,0.14219889302724636,0.1414165425701055,0.6886245175345723,0.14200722908191948,0.29899548566928835,0.047968932679509815,0.13293028768267426,0.014007695997183673,-0.2558229220530476,0.3037488082116065,0.14206954859828733,0.13075519917228431,0.1683288528367756,0.26673492098417695,-0.10846092766301413,0.09305371809794986,0.27994967705065316,-0.08899030289179767,0.020643561484487934,0.01593485755740563,0.2450879473185613,-0.04322433721978706,0.19560838664434838,-0.12595775201259649,-0.10205577409123748
tag_StockholdersEquity,0.46322655435556054,0.6015321416487773,0.41134755294446534,0.811291208978508,-0.45035767617064654,0.818988920488947,0.2518291561840911,1.0,0.43316591091122386,0.7175410691114357,0.6627761620979192,0.2446814168992619,0.003204339467773768,0.0031901788390209236,0.27359110674680664,0.31891563284789193,0.7914482086471336,0.13714181559728206,0.357224973021455,-0.013624342240448908,-0.6965730840245514,0.3404194361221234,0.40409891655314145,0.3218763509839543,0.4770284839019596,0.7385665670703916,0.0034656887104454292,0.027313720718803117,0.29359243636169724,0.007840045610127208,0.0005641386895999346,-0.01783519584977241,0.7185481320465293,-0.04819885917784719,0.5939636103916214,-0.08053348467652101,-0.005242475386551734
tag_RetainedEarningsAccumulatedDeficit,0.6563838671417566,0.20932511571532633,0.21646147844677746,0.3808756592876886,-0.18802551211748,0.3909954532638431,0.11521310785923486,0.43316591091122386,1.0,0.2777871472641329,0.286992911124226,0.16766528909806913,-0.09834200768220447,-0.0984062896540199,0.13163335851649152,0.014709574940186787,0.27773083713711505,-0.07079504351035915,0.05238006181174155,-0.021784779010064433,-0.21858331733009187,0.17450490949810057,0.36118402895515883,-0.02676705029132465,0.32604897229773594,0.2520793653177951,0.08340402543572767,-0.05114732498970873,0.16381487630588468,0.06851301975520649,0.01671622616735497,-0.2374988239045145,0.3947483051435447,0.012630850336340248,0.3696208859202976,-0.0001878223476235119,0.06379166050015386
tag_LiabilitiesCurrent,0.36166951555362803,0.4990122798146208,0.18999132626639315,0.9249729464649996,-0.4661088873723198,0.9311511148372373,0.27665825703931807,0.7175410691114357,0.2777871472641329,1.0,0.8460212590509226,-0.0014011001116138488,0.06538177721088718,0.06537068480366702,0.3048710185043385,0.41180427000074693,0.938750779407916,0.2256322194621445,0.4496405334103776,-0.0013889653019166167,-0.8809770798089762,0.3859556530213838,0.4187563651106903,0.40060807306349205,0.49695416912567547,0.8420969226775552,-0.05288920210625504,0.07402017758398094,0.3329318950769384,-0.0392516857532341,0.018340260600513508,0.30210594771346216,0.9064164302559796,-0.06440142397466904,0.8893378075679784,-0.07591001329332764,-0.055964691118169006
